Category,Live .co.uk URL,New site URL,Status,Action / Notes
Integration,/ftp-import-export/,/integrations/ftp,301,Path + slug change
Integration,/groupon/,/integrations/groupon,301,Path + slug change
Integration,/lightspeed/,/integrations/lightspeed,301,Path + slug change
Integration,/magento/,/integrations/magento,301,Path + slug change
Integration,/mirkal/,/integrations/mirakl,301,Live slug misspelt
Integration,/not-on-the-high-street/,/integrations/not-on-the-high-street,301,Path + slug change
Integration,/oracle-netsuite/,/integrations/netsuite,301,Path + slug change
Integration,/shopify/,/integrations/shopify,301,Path + slug change
Integration,/shopwired/,/integrations/shopwired,301,Path + slug change
Integration,/squarespace/,/integrations/squarespace,301,Path + slug change
Integration,/the-range-market-place/,/integrations/the-range,301,Path + slug change
Integration,/tiktok-shop/,/integrations/tiktok-shop,301,Path + slug change
Integration,/veeqo/,/integrations/veeqo,301,Path + slug change
Integration,/wayfair/,/integrations/wayfair,301,Path + slug change
Integration,/wish/,/integrations/wish,301,Path + slug change
Integration,/woo-commerce/,/integrations/woocommerce,301,Path + slug change
Integration,/wowcher/,/integrations/wowcher,301,Path + slug change
Integration,/zendesk/,/integrations/zendesk,301,Path + slug change
Integration,/3dcart/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/apc-overnight/,/integrations,Missing,Carrier — no page on new site; 301 to hub or add page
Integration,/blue-jay-solutions/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/channel-engine/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/dhl-parcel/,/integrations,Missing,Carrier — no page on new site; 301 to hub or add page
Integration,/fedex/,/integrations,Missing,Carrier — no page on new site; 301 to hub or add page
Integration,/inventory-planner/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/royal-mail/,/integrations,Missing,Carrier — no page on new site; 301 to hub or add page
Integration,/sap-business-by-design/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/store-feeder/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/the-pallet-network/,/integrations,Missing,Carrier — no page on new site; 301 to hub or add page
Integration,/virtual-stock/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/volo/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/volusion/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/weebly/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Integration,/yumbles/,/integrations,Missing,Marketplace — no page on new site; 301 to hub or add page
Integration,/zedonk/,/integrations,Missing,Platform — no page on new site; 301 to hub or add page
Blog,/2025/03/05/3pl-services-guide-benefits-types-how-to-choose/,/blog/how-to-choose-a-3pl,301,Only live post; closest new equivalent
Blog,/category/uncategorised/,/blog,301,WP category archive
Blog,/author/*,/blog,301,WP author archives (pattern rule)
WP,/wp-content/uploads/*,/,301,"Old image URLs — pattern rule to homepage, or leave to 404"
WP,"/wp-admin, /wp-login.php, /xmlrpc.php",—,Gone,Return 410 so bots stop probing
New,,/about,New,No live equivalent; submit via sitemap
New,,/get-pricing,New,No live equivalent; submit via sitemap
New,,/blog,New,No live equivalent; submit via sitemap
New,,/sectors,New,No live equivalent; submit via sitemap
New,,/locations/leeds,New,No live equivalent; submit via sitemap
New,,/locations/london,New,No live equivalent; submit via sitemap
New,,/locations/glasgow,New,No live equivalent; submit via sitemap
New,,/locations/newcastle,New,No live equivalent; submit via sitemap
New,,/locations/sheffield,New,No live equivalent; submit via sitemap
New,,/locations/birmingham,New,No live equivalent; submit via sitemap
New,,/locations/manchester,New,No live equivalent; submit via sitemap
New,,/locations/nottingham,New,No live equivalent; submit via sitemap
New,,/news/welcome-to-the-new-website,New,No live equivalent; submit via sitemap
New,,/blog/keep-your-stock-in-sync,New,No live equivalent; submit via sitemap
New,,/blog/going-international-vat-ioss,New,No live equivalent; submit via sitemap
New,,/blog/cut-off-times-next-day-promises,New,No live equivalent; submit via sitemap
New,,/blog/peak-season-readiness-q4-checklist,New,No live equivalent; submit via sitemap
New,,/blog/returns-that-dont-cost-the-customer,New,No live equivalent; submit via sitemap
New,,/integrations/amazon-sfp,New,No live equivalent; submit via sitemap
New,,/integrations/easywebstore,New,No live equivalent; submit via sitemap
New,,/integrations/etsy,New,No live equivalent; submit via sitemap
New,,/integrations/gifts-less-ordinary,New,No live equivalent; submit via sitemap
New,,/integrations/hard-to-find,New,No live equivalent; submit via sitemap
New,,/integrations/limelight,New,No live equivalent; submit via sitemap
New,,/integrations/linnworks,New,No live equivalent; submit via sitemap
New,,/integrations/manomano,New,No live equivalent; submit via sitemap
New,,/integrations/onbuy,New,No live equivalent; submit via sitemap
New,,/integrations/prestashop,New,No live equivalent; submit via sitemap
New,,/integrations/realde,New,No live equivalent; submit via sitemap
New,,/integrations/visualsoft,New,No live equivalent; submit via sitemap
